SESSION NAME:	A GREAT TV SHOW
SAMPLE RATE:	48000,000000
BIT DEPTH:	16-bit
SESSION START TIMECODE:	10:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	10
# OF AUDIO CLIPS:	621
# OF AUDIO FILES:	167


T R A C K  L I S T I N G
TRACK NAME:	A1
COMMENTS:	
USER DELAY:	0 Samples
STATE: Hidden Inactive 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	Story_znelka_HD.mov.new.01-01.A1	10:00:00:00   	10:00:14:16   	00:00:14:16   	Unmuted
1       	2       	ctar141201_0044.new.01-01.A1  	10:00:14:16   	10:00:20:12   	00:00:05:21   	Unmuted
1       	3       	ctar141201_0044.new.01-02.A1  	10:00:20:12   	10:00:56:15   	00:00:36:03   	Unmuted
1       	4       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-03.A1	10:00:56:15   	10:01:57:14   	00:01:00:24   	Unmuted
1       	5       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-01.A1	10:01:57:14   	10:02:01:09   	00:00:03:20   	Unmuted
1       	6       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-02.A1	10:02:01:09   	10:02:17:20   	00:00:16:11   	Unmuted
1       	7       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.02-01.A1	10:02:17:20   	10:03:07:14   	00:00:49:19   	Unmuted
1       	8       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.03-01.A1	10:03:07:14   	10:03:15:04   	00:00:07:15   	Unmuted
1       	9       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.04-01.A1	10:03:15:04   	10:03:51:01   	00:00:35:22   	Unmuted
1       	10      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.04-02.A1	10:03:51:01   	10:04:52:09   	00:01:01:08   	Unmuted
1       	11      	ctar140530_0038_18.new.02-01.A1	10:04:52:09   	10:05:00:03   	00:00:07:19   	Unmuted
1       	12      	ctar140530_0038_18.new.01-02.A1	10:05:00:03   	10:05:15:08   	00:00:15:05   	Unmuted
1       	13      	ctar140530_0038_18.new.01-01.A1	10:05:15:08   	10:05:22:11   	00:00:07:03   	Unmuted
1       	14      	ctar140530_0038_18.new.02-02.A1	10:05:22:11   	10:05:36:24   	00:00:14:13   	Unmuted
1       	15      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-01.A1	10:05:36:24   	10:05:40:03   	00:00:03:04   	Unmuted
1       	16      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-06.A1	10:05:40:03   	10:06:54:22   	00:01:14:19   	Unmuted
1       	17      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-02.A1	10:06:54:22   	10:07:38:07   	00:00:43:10   	Unmuted
1       	18      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-04.A1	10:07:38:07   	10:08:44:04   	00:01:05:22   	Unmuted
1       	19      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-05.A1	10:08:44:04   	10:09:53:14   	00:01:09:10   	Unmuted
1       	20      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-03.A1	10:09:53:14   	10:10:43:02   	00:00:49:13   	Unmuted
1       	21      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-07.A1	10:10:43:02   	10:12:10:09   	00:01:27:07   	Unmuted
1       	22      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-01.A1	10:12:10:09   	10:12:24:15   	00:00:14:06   	Unmuted
1       	23      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-04.A1	10:12:24:15   	10:13:30:07   	00:01:05:17   	Unmuted
1       	24      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-03.A1	10:13:30:07   	10:14:11:00   	00:00:40:18   	Unmuted
1       	25      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-05.A1	10:14:11:00   	10:15:22:02   	00:01:11:02   	Unmuted
1       	26      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-02.A1	10:15:22:02   	10:16:02:11   	00:00:40:09   	Unmuted
1       	27      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.07-01.A1	10:16:02:11   	10:16:03:06   	00:00:00:20   	Unmuted
1       	28      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.07-02.A1	10:16:03:06   	10:17:15:24   	00:01:12:18   	Unmuted
1       	29      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.08-02.A1	10:17:15:24   	10:17:28:10   	00:00:12:11   	Unmuted
1       	30      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.08-01.A1	10:17:28:10   	10:17:40:11   	00:00:12:01   	Unmuted
1       	31      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.09-01.A1	10:17:40:11   	10:18:01:09   	00:00:20:23   	Unmuted
1       	32      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-08.A1	10:18:01:09   	10:19:09:09   	00:01:08:00   	Unmuted
1       	33      	C0002.new.01-01.A1            	10:19:09:09   	10:19:18:08   	00:00:08:24   	Unmuted
1       	34      	C0002.new.02-01.A1            	10:19:18:08   	10:19:20:14   	00:00:02:06   	Unmuted
1       	35      	C0002.new.03-01.A1            	10:19:20:14   	10:19:34:23   	00:00:14:09   	Unmuted
1       	36      	C0002.new.04-01.A1            	10:19:34:23   	10:20:05:04   	00:00:30:06   	Unmuted
1       	37      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-10.A1	10:20:05:04   	10:22:20:04   	00:02:15:00   	Unmuted
1       	38      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-01.A1	10:22:20:04   	10:22:21:00   	00:00:00:21   	Unmuted
1       	39      	C0003.new.01-01.A1            	10:22:21:00   	10:22:44:18   	00:00:23:18   	Unmuted
1       	40      	C0003.new.02-01               	10:22:44:18   	10:22:58:01   	00:00:13:08   	Unmuted
1       	41      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-09.A1	10:22:58:01   	10:24:51:01   	00:01:53:00   	Unmuted
1       	42      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-07.A1	10:24:51:01   	10:25:54:12   	00:01:03:11   	Unmuted
1       	43      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-03.A1	10:25:54:12   	10:26:25:18   	00:00:31:06   	Unmuted
1       	44      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-05.A1	10:26:25:18   	10:27:10:10   	00:00:44:17   	Unmuted
1       	45      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-04.A1	10:27:10:10   	10:27:43:15   	00:00:33:05   	Unmuted
1       	46      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-02.A1	10:27:43:15   	10:27:55:11   	00:00:11:21   	Unmuted
1       	47      	CTPA161204_0062_10001400_10084800.new.01-01.A1	10:27:55:11   	10:27:59:13   	00:00:04:02   	Unmuted
1       	48      	CTPA161204_0062_10001400_10084800.new.01-02.A1	10:27:59:13   	10:28:04:22   	00:00:05:09   	Unmuted
1       	49      	CTPA161204_0062_10001400_10084800.new.02-01.A1	10:28:04:22   	10:28:08:09   	00:00:03:12   	Unmuted
1       	50      	CTPA161204_0062_10001400_10084800.new.03-01.A1	10:28:08:09   	10:28:13:12   	00:00:05:03   	Unmuted
1       	51      	CTPA161204_0062_10001400_10084800.new.01-03.A1	10:28:13:12   	10:28:20:11   	00:00:06:24   	Unmuted
1       	52      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-06.A1	10:28:20:11   	10:29:10:03   	00:00:49:17   	Unmuted
1       	53      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.11-02.A1	10:29:10:03   	10:29:34:09   	00:00:24:06   	Unmuted
1       	54      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.11-01.A1	10:29:34:09   	10:29:35:08   	00:00:00:24   	Unmuted
1       	55      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.11-03.A1	10:29:35:08   	10:30:27:22   	00:00:52:14   	Unmuted
1       	56      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-06.A1	10:30:27:22   	10:32:08:20   	00:01:40:23   	Unmuted
1       	57      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-04.A1	10:32:08:20   	10:32:52:24   	00:00:44:04   	Unmuted
1       	58      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-05.A1	10:32:52:24   	10:34:17:15   	00:01:24:16   	Unmuted
1       	59      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-03.A1	10:34:17:15   	10:34:38:16   	00:00:21:01   	Unmuted
